Tên doanh nghiệp ngành điện,Mã cổ phiếu
CTCP Thủy Điện A Vương - UPCOM,AVC
CTCP Thủy điện Bắc Hà - UPCOM,BHA
CTCP Thủy điện Buôn Đôn - UPCOM,BSA
CTCP Nhiệt điện Bà Rịa - HOSE,BTP
CTCP Thủy điện miền Trung - HOSE,CHP
CTCP Điện Cơ Hải Phòng - HNX,DHP
CTCP Điện nước An Giang - UPCOM,DNA
CTCP Thủy điện Đa Nhim – Hàm Thuận – Đa Mi - UPCOM,DNH
CTCP Thủy điện – Điện lực 3 - HOSE,DRL
CTCP Đầu tư Năng lượng Đại Trường Thành Holdings,DTE
Tổng công ty Điện lực TKV – CTCP - HNX,DTK
CTCP Thủy điện Điện lực Đắk Lắk - UPCOM,EAD
CTCP Điện Bắc Nà - HNX,EBA
CTCP EVN Quốc tế - UPCOM,EIC
Tổng công ty Phát điện 2 – Công ty TNHH MTV - UPCOM,GE2
CTCP Điện Gia Lai - HOSE,GEG
CTCP Thủy điện Gia Lai - UPCOM,GHC
CTCP Thủy điện Hương Sơn - UPCOM,GSM
CTCP Thủy điện Nậm Mu - HNX,HJS
CTCP Điện chiếu sáng Hải Phòng - UPCOM,HLE
CTCP Thủy điện Hủa Na - UPCOM,HNA
CTCP Nhiệt điện Hải Phòng - UPCOM,HND
Công ty CTCP Thủy điện Đăk Đoa - UPCOM,HPD
CTCP Thủy điện Srok Phu Miêng IDICO - UPCOM,ISH
CTCP Điện lực Khánh Hòa - HOSE,KHP
CTCP Nhiệt điện Ninh Bình - HNX,NBP
CTCP Đầu tư và Phát triển Điện Miền Bắc 2 - UPCOM,ND2
CTCP Đầu tư và Phát triển Điện Tây Bắc - UPCOM,NED
CTCP Điện lực Dầu khí Nhơn Trạch 2 - HOSE,NT2
CTCP thủy điện Nước Trong - HNX,NTH
CTCP Tập đoàn PC1 - HOSE,PC1
Tổng Công ty Phát điện 3 – CTCP - UPCOM,PGV
CTCP Đầu tư Điện lực 3 - HNX,PIC
Tổng Công ty Điện lực Dầu khí Việt Nam – CTCP - HOSE,POW
CTCP Nhiệt điện Phả Lại - HOSE,PPC
CTCP Thủy điện Quế Phong- UPCOM,QPH
CTCP Nhiệt điện Quảng Ninh - UPCOM,QTP
CTCP Thủy điện Sê San 4A - HOSE,S4A
CTCP Sông Ba - HOSE,SBA
CTCP Thủy điện Sông Ba Hạ - UPCOM,SBH
CTCP Đầu tư Phát triển Bắc Minh - UPCOM,SBM
CTCP Đầu tư và Phát triển Điện miền Trung - HNX,SEB
CTCP Thủy điện Miền Nam - HOSE,SHP
CTCP Thủy điện Cần Đơn - HOSE,SJD
CTCP Thủy điện Sử Pán 2 - UPCOM,SP2
CTCP Thủy điện Sông Vàng - UPCOM,SVH
CTCP Thủy điện Thác Bà - HOSE,TBC
Tổng Công ty Thiết bị Điện Đông Anh – CTCP - UPCOM,TBD
CTCP Thủy điện Định Bình - UPCOM,TDB
CTCP Đầu tư Điện Tây Nguyên - HOSE,TIC
CTCP Thủy điện Thác Mơ - HOSE,TMP
CTCP Đầu tư Xây dựng và Phát triển Trường Thành - HSX,TTA
CTCP Đầu tư Năng lượng Trường Thịnh - HOSE,TTE
CTCP Tư vấn Xây dựng Điện 2 - HOSE,TV2
CTCP Xây dựng và Năng lượng VCP - HOSE,VCP
Tổng CTCP Xây dựng điện Việt Nam - HOSE,VNE
CTCP Phát triển Điện lực Việt Nam - HSX,VPD
CTCP Thủy điện Vĩnh Sơn – Sông Hinh - HOSE,VSH
